time_ms,seq,accountnumber,ageoldestrecord,agenewestrecord,recentupdate,srcsconfirmidaddrcount,creditbureaurecord,verificationfailure,ssnnotfound,ssnfoundother,verifiedname,verifiedssn,verifiedphone,verifiedaddress,verifieddob,ageriskindicator,subjectssncount,subjectaddrcount,subjectphonecount,subjectssnrecentcount,subjectaddrrecentcount,subjectphonerecentcount,ssnidentitiescount,ssnaddrcount,ssnidentitiesrecentcount,ssnaddrrecentcount,inputaddrphonecount,inputaddrphonerecentcount,phoneidentitiescount,phoneidentitiesrecentcount,phoneother,ssnlastnamecount,subjectlastnamecount,lastnamechangeage,lastnamechangecount01,lastnamechangecount03,lastnamechangecount06,lastnamechangecount12,lastnamechangecount24,lastnamechangecount60,sfduaddridentitiescount,sfduaddrssncount,ssnagedeceased,ssnrecent,ssnlowissueage,ssnhighissueage,ssnissuestate,ssnnonus,ssn3years,ssnafter5,ssnproblems,relativescount,relativesbankruptcycount,relativesfelonycount,relativespropownedcount,relativespropownedtaxtotal,relativesdistanceclosest,inputaddrageoldestrecord,inputaddragenewestrecord,inputaddrhistoricalmatch,inputaddrlenofres,inputaddrdwelltype,inputaddrdelivery,inputaddrapplicantowned,inputaddrfamilyowned,inputaddroccupantowned,inputaddragelastsale,inputaddrlastsalesprice,inputaddrmortgagetype,inputaddrnotprimaryres,inputaddractivephonelist,inputaddrtaxvalue,inputaddrtaxyr,inputaddrtaxmarketvalue,inputaddravmvalue,inputaddravmvalue12,inputaddravmvalue60,inputaddrcountyindex,inputaddrtractindex,inputaddrblockindex,inputaddrmedianincome,inputaddrmedianvalue,inputaddrmurderindex,inputaddrcartheftindex,inputaddrburglaryindex,inputaddrcrimeindex,inputaddrmobilityindex,inputaddrvacantpropcount,inputaddrbusinesscount,inputaddrsinglefamilycount,inputaddrmultifamilycount,curraddrageoldestrecord,curraddragenewestrecord,curraddrlenofres,curraddrdwelltype,curraddrapplicantowned,curraddrfamilyowned,curraddroccupantowned,curraddragelastsale,curraddrlastsalesprice,curraddrmortgagetype,curraddractivephonelist,curraddrtaxvalue,curraddrtaxyr,curraddrtaxmarketvalue,curraddravmvalue,curraddravmvalue12,curraddravmvalue60,curraddrcountyindex,curraddrtractindex,curraddrblockindex,curraddrmedianincome,curraddrmedianvalue,curraddrmurderindex,curraddrcartheftindex,curraddrburglaryindex,curraddrcrimeindex,prevaddrageoldestrecord,prevaddragenewestrecord,prevaddrlenofres,prevaddrdwelltype,prevaddrapplicantowned,prevaddrfamilyowned,prevaddroccupantowned,prevaddragelastsale,prevaddrlastsalesprice,prevaddrtaxvalue,prevaddrtaxyr,prevaddrtaxmarketvalue,prevaddravmvalue,prevaddrcountyindex,prevaddrtractindex,prevaddrblockindex,prevaddrmedianincome,prevaddrmedianvalue,prevaddrmurderindex,prevaddrcartheftindex,prevaddrburglaryindex,prevaddrcrimeindex,addrmostrecentdistance,addrmostrecentstatediff,addrmostrecenttaxdiff,addrmostrecentmoveage,addrmostrecentincomediff,addrmostrecentvaluediff,addrmostrecentcrimediff,addrrecentecontrajectory,addrrecentecontrajectoryindex,educationattendedcollege,educationprogram2yr,educationprogram4yr,educationprogramgraduate,educationinstitutionprivate,educationinstitutionrating,educationfieldofstudytype,addrstability,statusmostrecent,statusprevious,statusnextprevious,addrchangecount01,addrchangecount03,addrchangecount06,addrchangecount12,addrchangecount24,addrchangecount60,estimatedannualincome,assetowner,propertyowner,propownedcount,propownedtaxtotal,propownedhistoricalcount,propageoldestpurchase,propagenewestpurchase,propagenewestsale,propnewestsaleprice,propnewestsalepurchaseindex,proppurchasedcount01,proppurchasedcount03,proppurchasedcount06,proppurchasedcount12,proppurchasedcount24,proppurchasedcount60,propsoldcount01,propsoldcount03,propsoldcount06,propsoldcount12,propsoldcount24,propsoldcount60,watercraftowner,watercraftcount,watercraftcount01,watercraftcount03,watercraftcount06,watercraftcount12,watercraftcount24,watercraftcount60,aircraftowner,aircraftcount,aircraftcount01,aircraftcount03,aircraftcount06,aircraftcount12,aircraftcount24,aircraftcount60,wealthindex,businessactiveassociation,businessinactiveassociation,businessassociationage,businesstitle,businessinputaddrcount,derogseverityindex,derogcount,derogrecentcount,derogage,felonycount,felonyage,felonycount01,felonycount03,felonycount06,felonycount12,felonycount24,felonycount60,arrestcount,arrestage,arrestcount01,arrestcount03,arrestcount06,arrestcount12,arrestcount24,arrestcount60,liencount,lienfiledcount,lienfiledtotal,lienfiledage,lienfiledcount01,lienfiledcount03,lienfiledcount06,lienfiledcount12,lienfiledcount24,lienfiledcount60,lienreleasedcount,lienreleasedtotal,lienreleasedage,lienreleasedcount01,lienreleasedcount03,lienreleasedcount06,lienreleasedcount12,lienreleasedcount24,lienreleasedcount60,bankruptcycount,bankruptcyage,bankruptcytype,bankruptcystatus,bankruptcycount01,bankruptcycount03,bankruptcycount06,bankruptcycount12,bankruptcycount24,bankruptcycount60,evictioncount,evictionage,evictioncount01,evictioncount03,evictioncount06,evictioncount12,evictioncount24,evictioncount60,accidentcount,accidentage,recentactivityindex,nonderogcount,nonderogcount01,nonderogcount03,nonderogcount06,nonderogcount12,nonderogcount24,nonderogcount60,voterregistrationrecord,profliccount,proflicage,proflictypecategory,proflicexpired,profliccount01,profliccount03,profliccount06,profliccount12,profliccount24,profliccount60,prsearchlocatecount,prsearchlocatecount01,prsearchlocatecount03,prsearchlocatecount06,prsearchlocatecount12,prsearchlocatecount24,prsearchpersonalfinancecount,prsearchpersonalfinancecount01,prsearchpersonalfinancecount03,prsearchpersonalfinancecount06,prsearchpersonalfinancecount12,prsearchpersonalfinancecount24,prsearchothercount,prsearchothercount01,prsearchothercount03,prsearchothercount06,prsearchothercount12,prsearchothercount24,prsearchidentityssns,prsearchidentityaddrs,prsearchidentityphones,prsearchssnidentities,prsearchaddridentities,prsearchphoneidentities,subprimeofferrequestcount,subprimeofferrequestcount01,subprimeofferrequestcount03,subprimeofferrequestcount06,subprimeofferrequestcount12,subprimeofferrequestcount24,subprimeofferrequestcount60,inputphonemobile,inputphonetype,inputphoneservicetype,inputareacodechange,phoneedaageoldestrecord,phoneedaagenewestrecord,phoneotherageoldestrecord,phoneotheragenewestrecord,inputphonehighrisk,inputphoneproblems,onlinedirectory,inputaddrsiccode,inputaddrvalidation,inputaddrerrorcode,inputaddrhighrisk,curraddrcorrectional,prevaddrcorrectional,historicaladdrcorrectional,inputaddrproblems,donotmail,identityrisklevel,idverrisklevel,idveraddressassoccount,idverssncreditbureaucount,idverssncreditbureaudelete,sourcerisklevel,sourcewatchlist,sourceorderactivity,sourceordersourcecount,sourceorderagelastorder,variationrisklevel,variationidentitycount,variationmsourcesssncount,variationmsourcesssnunrelcount,variationdobcount,variationdobcountnew,searchvelocityrisklevel,searchunverifiedssncountyear,searchunverifiedaddrcountyear,searchunverifieddobcountyear,searchunverifiedphonecountyear,assocrisklevel,assocsuspicousidentitiescount,assoccreditbureauonlycount,assoccreditbureauonlycountnew,assoccreditbureauonlycountmonth,assochighrisktopologycount,validationrisklevel,correlationrisklevel,divrisklevel,divssnidentitymsourcecount,divssnidentitymsourceurelcount,divssnlnamecountnew,divssnaddrmsourcecount,divaddridentitycount,divaddridentitycountnew,divaddridentitymsourcecount,divaddrsuspidentitycountnew,divaddrssncount,divaddrssncountnew,divaddrssnmsourcecount,divsearchaddrsuspidentitycount,searchcomponentrisklevel,searchssnsearchcount,searchaddrsearchcount,searchphonesearchcount,componentcharrisklevel,errorcode,historydate,did,fnamepop,lnamepop,addrpop,ssnlength,dobpop,emailpop,ipaddrpop,hphnpop
2281,5,5,180,172,0,1,1,0,0,0,3,2,-1,1,0,21,1,1,0,0,0,0,3,2,0,0,1,0,0,0,-1,0,1,179,0,0,0,0,0,0,49,24,28,0,960,819,TX,0,0,0,5,0,0,0,0,-1,-1,-1,-1,-1,-1,S,-1,1,0,0,253,-1,-1,1,0,153090,2018,234739,100000,156120,63515,0.61,1.55,1.55,28537,106755,56,112,111,69,0.4,8,26,255,255,180,172,8,-1,0,0,1,139,0,-1,0,72572,2018,72572,75644,60918,63524,0.55,1.71,1.84,32742,38684,153,167,161,161,-1,-1,-1,S,1,0,0,253,0,153090,2018,234739,100000,0.61,1.55,1.55,28537,106755,56,112,111,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,U,O,U,0,0,0,0,0,0,34000,1,1,1,234739,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-1,-1,13,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,182,180,-1,-1,-1,-1,0,-1,V,10.2,0,0,0,0,0,0,9,6,0,1,0,7,0,0,0,-1,-1,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,8,7,1,0,0,0,0,49,0,35,0,24,0,22,0,1,0,2,-1,6,,999999,46341089198,1,1,1,0,1,0,0,0
1501,10,10,423,1,1,4,1,0,0,0,3,2,0,1,-1,21,1,21,0,0,0,0,1,13,0,0,0,0,0,0,-1,0,2,290,0,0,0,0,0,0,6,3,-1,0,575,551,ME,0,0,0,0,1,0,0,1,-1,3,304,1,1,303,S,-1,0,1,0,42,52500,-1,1,0,26052,2016,65130,90588,81946,59475,0.65,0.61,0.63,66338,129567,38,8,128,54,0.2,0,8,255,2,40,1,39,P,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,50700,190278,179,119,102,181,304,1,303,S,0,1,0,42,52500,26052,2016,65130,90588,0.65,0.61,0.63,66338,129567,38,8,128,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,5,R,O,U,0,0,0,0,0,3,44000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-1,CEO;CFO;SECRETARY,12,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,2,9,3,3,3,3,3,6,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,10,-1,144,91,116,90,0,0,1,-1,V,10.2,0,0,0,0,0,0,1,3,0,3,0,3,0,0,0,-1,1,1,1,1,1,0,5,0,0,0,0,1,0,0,0,0,0,1,4,1,1,1,0,7,6,0,5,0,3,0,3,0,1,3,1,4,5,,999999,2219612177,1,1,1,0,0,0,0,1
1036,15,15,300,1,1,2,1,0,0,0,3,2,-1,1,-1,21,2,32,0,0,0,0,1,32,0,0,0,0,0,0,-1,0,2,208,0,0,0,0,0,0,52,39,-1,0,575,551,CA,0,0,0,0,42,7,3,8,118600,0,68,45,1,23,S,-1,0,0,1,14,145000,-1,1,0,13350,2019,133500,181761,141790,77348,0.66,1.16,1.07,75000,115625,122,162,143,97,0.4,40,3,255,216,37,1,36,S,0,0,1,11,675000,-1,0,10460,2019,104600,138843,111176,54817,0.5,0.83,0.81,40682,130921,135,154,132,115,55,1,54,H,0,0,1,-1,-1,0,-1,0,0,0,0,0,24420,13173,100,165,161,92,0,0,-1,55,50580,102452,5,CD,3,0,-1,-1,-1,-1,-1,-1,4,U,R,-1,0,0,0,0,0,3,86000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,2,7,3,3,3,3,4,4,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,149,51,157,51,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,1,1,3,0,6,1,0,0,-1,1,2,1,1,1,0,6,0,0,0,0,9,8,1,0,0,3,1,9,1,1,1,0,26,52,2,46,1,39,1,35,0,1,2,10,-1,2,,999999,2071592290,1,1,1,0,0,0,0,0
1171,20,20,-1,-1,0,0,0,0,-1,-1,3,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,S,-1,0,1,0,134,-1,-1,-1,1,86132,2018,0,630000,560000,478000,1.04,1.06,1.07,99375,449174,79,125,28,69,0.2,0,0,255,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,83000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,-1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,V,10.2,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,8,1,-1,-1,-1,-1,9,0,7,0,7,0,6,0,1,-1,4,-1,7,,999999,0,1,1,1,0,1,0,0,0
1451,25,25,394,1,1,3,1,0,0,0,3,2,-1,1,-1,70,1,12,0,0,0,0,2,12,0,0,0,0,0,0,-1,0,2,389,0,0,0,0,0,0,33,22,-1,0,465,441,TX,0,0,0,0,32,3,0,4,-1,0,99,1,1,98,S,-1,0,1,0,30,-1,-1,1,0,199294,2018,0,353000,317000,210000,0.98,0.93,0.87,74856,320833,39,104,85,38,0.9,0,31,255,0,21,1,20,S,0,1,0,9,0,-1,0,666572,2018,0,1610546,1345000,940000,1.51,1.39,1.46,112031,818015,16,50,25,23,41,1,40,H,0,0,0,-1,-1,0,-1,0,0,0,0,0,66026,335000,16,71,42,21,3,0,-1,41,8830,-14167,17,EC,3,0,-1,-1,-1,-1,-1,-1,3,O,R,-1,0,0,0,0,1,2,87000,0,0,0,0,2,241,187,92,225000,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-1,-1,14,2,1,0,104,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,104,I,Discharged,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,10,4,4,4,5,6,6,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,189,72,182,72,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,9,3,2,3,0,5,0,0,0,-1,1,1,1,1,2,0,2,0,0,0,0,3,3,0,0,0,0,1,7,1,2,0,0,12,33,1,24,0,22,1,17,0,1,3,5,-1,3,,999999,1836510853,1,1,1,0,0,0,0,0
1562,30,30,228,1,1,5,1,0,0,0,3,2,-1,1,7,21,1,6,0,0,0,0,3,7,0,0,0,0,0,0,-1,0,1,226,0,0,0,0,0,0,33,14,-1,0,392,368,TX,0,0,0,0,24,2,0,5,208930,0,63,4,1,59,S,-1,0,1,0,-1,-1,-1,1,0,42746,2018,42746,37167,103000,36365,0.46,1.5,0.91,13664,53651,36,175,83,103,0.3,12,16,255,8,13,1,12,S,0,0,0,187,0,-1,0,39592,2018,39592,35696,31000,35746,0.45,1.08,0.65,37019,75682,80,172,147,161,157,1,156,S,0,0,0,38,0,68231,2018,68231,47048,0.59,0.74,1.18,34000,54464,80,81,114,83,3,0,-25485,157,-20336,-813,20,FF,1,0,-1,-1,-1,-1,-1,-1,5,U,U,-1,0,0,0,0,1,1,23000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,2,7,3,3,3,4,5,6,1,0,-1,-1,-1,0,0,0,0,0,0,6,0,1,2,4,4,18,0,1,6,12,14,22,0,1,2,7,12,2,2,3,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,160,22,158,21,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,3,2,3,0,6,0,0,0,-1,4,1,1,1,1,0,8,1,0,0,3,2,2,0,0,0,0,1,7,1,3,2,0,5,33,0,33,0,14,0,13,0,1,27,11,-1,5,,999999,1697828071,1,1,1,0,1,0,0,0
2206,35,35,292,1,1,1,1,0,0,0,3,2,-1,1,7,21,2,25,0,0,0,0,2,27,0,0,0,0,0,0,-1,1,7,30,0,0,0,0,0,1,36,31,-1,0,538,514,OR,0,0,0,0,38,11,4,16,4177895,0,95,1,1,94,S,-1,0,1,0,7,150000,-1,1,0,77160,2018,151330,158969,151818,113772,0.39,0.36,0.39,91797,414216,26,22,71,30,0.2,0,6,255,4,1,1,1,H,0,0,0,91,0,-1,0,3251870,2018,7175420,0,0,0,0,0,0,52407,195000,18,35,45,21,95,1,94,S,0,1,0,7,150000,77160,2018,151330,158969,0.39,0.36,0.39,91797,414216,26,22,71,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,5,R,O,U,0,0,0,0,0,0,100000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,-1,-1,1,4,8,0,85,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,5,5,1780,85,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,259,I,Discharged,0,0,0,0,0,0,2,264,0,0,0,0,0,0,0,-1,1,7,3,4,4,4,4,4,0,0,-1,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,137,119,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,1,4,3,0,6,0,0,0,-1,1,1,2,2,2,0,6,0,0,0,0,9,11,0,0,0,4,1,7,2,2,1,0,25,36,1,29,0,31,1,23,1,2,5,18,-1,5,,999999,569639141,1,1,1,0,1,0,0,0
1988,40,40,129,1,1,5,1,0,0,0,3,2,-1,1,7,21,1,3,0,0,0,0,1,3,0,0,0,0,0,0,-1,0,2,102,0,0,0,0,0,0,39,31,-1,0,356,332,MI,0,0,0,0,11,4,0,4,-1,2,-1,-1,-1,-1,S,-1,0,0,1,86,-1,-1,1,0,2972,2018,15637,11363,15000,17054,0.08,0.45,0.6,23125,63986,181,183,197,178,0.3,75,16,255,0,49,1,48,S,0,1,0,47,25000,-1,0,26200,2018,0,44176,43235,34080,0.73,0.8,0.57,46579,88824,102,50,98,89,129,1,128,S,0,1,0,17,0,52900,2018,0,112707,1.86,0.82,0.94,72301,155398,63,21,19,34,621,1,-49928,129,-49176,-91412,144,EF,2,0,-1,-1,-1,-1,-1,-1,5,O,O,-1,0,0,0,0,0,1,30000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,2,6,3,3,3,4,5,6,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,160,45,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,1,0,3,0,6,0,0,0,-1,1,2,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,9,1,1,1,0,3,39,0,28,0,31,0,22,0,1,2,2,-1,3,,999999,78941487953,1,1,1,0,1,0,0,0
1571,45,45,187,1,1,1,1,0,0,0,3,2,-1,0,7,21,1,17,0,0,0,0,2,17,0,0,0,0,0,0,-1,1,3,183,0,0,0,0,0,0,39,32,-1,0,392,380,TX,0,0,0,0,25,3,5,5,529703,0,68,68,1,1,S,-1,0,0,1,64,-1,-1,1,0,17699,2017,17699,0,0,0,0,0,0,23818,43235,153,146,165,180,0.3,69,42,255,60,7,1,6,S,0,0,0,81,0,-1,0,22241,2017,22241,0,0,0,0,0,0,42063,39219,176,172,184,172,48,1,47,S,0,0,0,127,0,195547,2017,195547,0,0,0,0,38583,42167,122,156,165,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,6,2,4,U,U,-1,0,0,0,0,2,5,25000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,4,4,0,84,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,2,1017,84,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,2,84,0,0,0,0,0,0,0,-1,3,8,2,2,2,3,5,5,1,0,121,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,6,0,3,0,6,0,0,0,-1,1,1,1,1,1,0,2,0,0,0,0,6,1,0,0,0,5,1,9,1,1,1,0,13,39,0,32,0,32,0,30,1,1,7,19,-1,4,,999999,37755820655,1,1,1,0,1,0,0,0
2052,50,50,216,1,1,4,1,0,0,0,3,2,-1,1,-1,21,1,30,0,0,0,0,3,27,0,0,0,0,0,0,-1,0,4,68,0,0,0,0,0,0,53,48,-1,0,429,392,NJ,0,0,0,0,5,1,0,2,862409,2,60,42,1,18,S,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,51032,164757,7,7,2,3,0.6,255,7,255,0,25,1,24,S,0,0,0,9,0,-1,0,63259,2018,63259,129743,88085,38558,0.72,1.13,1,27833,66500,61,61,64,58,53,1,52,H,0,0,0,-1,-1,0,-1,0,0,0,0,0,60285,356667,47,37,60,44,295,1,-1,53,-9253,-191910,-41,EF,2,0,-1,-1,-1,-1,-1,-1,4,U,R,-1,0,0,0,1,1,6,79000,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,-1,-1,2,4,3,0,175,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,2,0,175,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,175,0,0,0,0,0,0,3,36,1,10,3,4,4,6,6,7,1,0,-1,-1,-1,0,0,0,0,0,0,4,0,0,0,1,1,18,0,0,1,3,6,25,0,3,3,18,20,2,2,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,97,69,155,68,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,1,0,3,0,4,0,0,0,-1,4,1,1,1,1,0,8,1,0,2,1,1,0,0,0,0,0,1,8,1,2,2,0,24,53,1,40,0,48,1,40,0,1,36,4,-1,4,,999999,838425991,1,1,1,0,0,0,0,0
